song_key,song_title,n_plays,n_shows,first_played,last_played,album,n_videos
First Blood,First Blood,80,80,2022-08-19,2026-05-26,Bleed Out,1
Incandescent Ruins,Incandescent Ruins,80,80,2021-09-16,2026-05-03,Bleed Out,2
Baboon,Baboon,79,78,1997-03-01,2024-12-10,The Coroner's Gambit,8
Tidal Wave,Tidal Wave,78,78,2020-12-04,2024-04-21,Getting Into Knives,0
Sicilian Crest,Sicilian Crest,77,77,2019-04-26,2026-04-17,In League with Dragons,3
First Few Desperate Hours,First Few Desperate Hours,77,77,2002-10-08,2022-11-11,Tallahassee,5
Jeff Davis County Blues,Jeff Davis County Blues,76,76,2006-08-10,2024-04-15,All Hail West Texas,5
Before I Got There,Before I Got There,76,76,2021-09-17,2026-05-15,Dark in Here,0
Shelved,Shelved,76,76,2017-04-01,2024-05-22,Goths,1
Oceanographer's Choice,Oceanographer's Choice,74,74,2001-10-19,2024-01-23,Tallahassee,5
Clemency for the Wizard King,Clemency for the Wizard King,73,73,2019-04-26,2024-08-09,In League with Dragons,2
Lovecraft in Brooklyn,Lovecraft in Brooklyn,72,72,2007-05-11,2026-04-06,Heretic Pride,11
The Mess Inside,The Mess Inside,72,72,2000-09-17,2026-04-17,All Hail West Texas,8
There Will Be No Divorce,There Will Be No Divorce,72,72,1997-12-06,2025-09-20,The Coroner's Gambit,5
Deuteronomy 2:10,Deuteronomy 2:10,72,72,2009-09-18,2025-11-11,The Life of the World to Come,4
Elijah,Elijah,70,70,2000-02-06,2026-04-05,The Coroner's Gambit,7
Nine Black Poppies (Song),Nine Black Poppies (Song),70,70,1996-01-15,2016-09-28,Nine Black Poppies EP,5
White Cedar,White Cedar,69,69,2011-12-16,2025-12-04,Transcendental Youth,3
Slow West Vultures,Slow West Vultures,68,68,2003-04-04,2026-05-22,We Shall All Be Healed,8
Fresh Tattoo,Fresh Tattoo,68,68,2023-10-02,2024-12-13,Jenny from Thebes,1
Dinu Lipatti's Bones,Dinu Lipatti's Bones,67,67,2005-06-18,2021-10-26,The Sunset Tree,5
Dark in Here (song),Dark in Here (song),67,67,2021-04-18,2024-08-10,Dark in Here,3
Birth of Serpents,Birth of Serpents,66,66,2011-02-23,2024-01-19,All Eternals Deck,8
Water Tower,Water Tower,66,66,2024-04-16,2026-04-21,Jenny from Thebes,1
Black Pear Tree,Black Pear Tree,64,64,2008-10-14,2025-08-08,Black Pear Tree EP,7
California Song,California Song,64,64,1996-03-16,2024-02-29,Sweden,12
Alpha Rats Nest,Alpha Rats Nest,63,63,2003-02-01,2026-05-22,Tallahassee,9
Prowl Great Cain,Prowl Great Cain,63,63,2011-03-24,2024-07-24,All Eternals Deck,6
Isaiah 45:23,Isaiah 45:23,63,63,2009-10-13,2023-02-09,The Life of the World to Come,8
Getting Into Knives (song),Getting Into Knives (song),62,62,2020-10-22,2026-04-13,Getting Into Knives,0
Abandoned Flesh,Abandoned Flesh,62,62,2017-05-19,2024-08-10,Goths,3
Possum By Night,Possum By Night,61,61,2019-04-26,2026-05-23,In League with Dragons,2
Quito,Quito,61,61,2003-09-26,2014-06-07,We Shall All Be Healed,3
In League with Dragons (song),In League with Dragons (song),61,61,2019-04-26,2025-12-13,In League with Dragons,3
Night Light,Night Light,60,60,2012-01-19,2024-04-20,Transcendental Youth,4
Cheshire County,Cheshire County,60,60,1996-03-14,2024-08-02,Nine Black Poppies EP,1
Thank You Mario But Our Princess Is in Another Castle,Thank You Mario But Our Princess Is in Another Castle,59,59,2008-11-03,2024-10-13,Black Pear Tree EP,11
Source Decay,Source Decay,59,59,2001-04-21,2026-05-23,All Hail West Texas,4
Genesis 30:3,Genesis 30:3,59,59,2009-09-18,2024-01-24,The Life of the World to Come,6
From TG&Y,From TG&Y,59,59,2006-09-29,2025-10-03,Unreleased,12
Romans 10:9,Romans 10:9,59,59,2009-08-21,2026-05-23,The Life of the World to Come,3
Hebrews 11:40,Hebrews 11:40,59,59,2009-10-10,2025-12-06,The Life of the World to Come,4
Against Pollution,Against Pollution,58,58,2005-05-03,2026-05-26,We Shall All Be Healed,3
Michael Myers Resplendent,Michael Myers Resplendent,58,58,2007-05-05,2026-04-17,Heretic Pride,7
"Pigs That Ran Straightaway into the Water, Triumph Of","Pigs That Ran Straightaway into the Water, Triumph Of",57,57,2004-02-11,2023-04-23,We Shall All Be Healed,5
Cobscook Bay,Cobscook Bay,56,56,2007-06-17,2022-08-29,Isopanisad Radio Hour,5
Alpha Omega,Alpha Omega,55,55,1996-01-15,2026-05-03,Our Salvation Is in Hand,3
Twin Human Highway Flares,Twin Human Highway Flares,55,55,1997-03-01,2026-04-05,Full Force Galesburg,5
Tollund Man,Tollund Man,54,54,1996-02-25,2021-08-24,Sweden,0
Cadaver Sniffing Dog,Cadaver Sniffing Dog,54,54,2019-03-14,2023-08-09,In League with Dragons,6
New Monster Avenue,New Monster Avenue,54,54,2005-11-04,2023-12-10,Get Lonely,7
Unicorn Tolerance,Unicorn Tolerance,53,53,2017-05-23,2018-11-15,Goths,4
Luna,Luna,53,53,2015-01-25,2025-10-04,Beat the Champ,1
Alpha Incipiens,Alpha Incipiens,53,53,1998-04-04,2026-05-03,Zopilote Machine,4
Soft Targets,Soft Targets,53,53,2003-02-05,2024-10-15,Bedside Recordings Vol. 1.2,5
The Alphonse Mambo,The Alphonse Mambo,53,53,1999-07-09,2024-12-05,The Coroner's Gambit,5
For Charles Bronson,For Charles Bronson,52,52,2010-10-04,2013-07-06,All Eternals Deck,5
So Desperate,So Desperate,52,52,2008-02-27,2024-05-22,Heretic Pride,6
Make You Suffer,Make You Suffer,52,52,2022-08-19,2024-07-27,Bleed Out,3
Sept. 15 1983,Sept. 15 1983,52,52,2007-09-22,2013-10-16,Heretic Pride,4
The Day the Aliens Came (Hawaiian Feeling),The Day the Aliens Came (Hawaiian Feeling),51,51,2004-12-04,2024-12-05,"Come, Come to the Sunset Tree",7
High Hawk Season,High Hawk Season,51,51,2011-03-28,2019-11-17,All Eternals Deck,3
Fall of the Star High School Running Back,Fall of the Star High School Running Back,51,51,2000-10-19,2024-10-15,All Hail West Texas,8
Enoch 18:14,Enoch 18:14,50,50,2009-10-09,2023-10-07,The Life of the World to Come,4
Dilaudid,Dilaudid,50,50,2004-10-04,2024-12-02,The Sunset Tree,8
Prana Ferox,Prana Ferox,50,50,1994-08-22,2025-10-01,Sweden,1
The Grey King and the Silver Flame Attunement,The Grey King and the Silver Flame Attunement,50,50,2017-05-23,2025-08-05,Goths,1
The Sign,The Sign,50,50,1994-08-22,2019-11-11,Songs for Peter Hughes,8
Broken To Begin With,Broken To Begin With,49,49,2025-07-25,2026-05-17,Through This Fire Across From Peter Balkan,0
We Do It Different on the West Coast,We Do It Different on the West Coast,49,49,2016-02-27,2022-08-25,Goths,2
Bones Don't Rust,Bones Don't Rust,49,49,2022-08-30,2025-11-11,Bleed Out,0
Letter from Belgium,Letter from Belgium,49,49,2003-08-23,2024-10-11,We Shall All Be Healed,3
Cubs in Five,Cubs in Five,48,48,1996-01-15,2016-07-23,Nine Black Poppies EP,7
Autoclave,Autoclave,47,47,2007-10-02,2024-03-03,Heretic Pride,10
Raja Vocative,Raja Vocative,46,46,1994-08-18,2025-12-03,"Orange Raja, Blood Royal",5
Dutch Orchestra Blues,Dutch Orchestra Blues,45,45,2002-07-24,2026-04-10,Isopanisad Radio Hour,1
Sept 19th Triple X Love! Love!,Sept 19th Triple X Love! Love!,45,44,1995-01-15,2025-11-06,Sweden,1
Jenny III,Jenny III,45,45,2023-10-02,2024-04-22,Jenny from Thebes,1
Jaipur,Jaipur,45,45,2001-07-19,2024-10-08,The Coroner's Gambit,2
Lizard Suit,Lizard Suit,45,45,2021-08-06,2024-08-09,Dark in Here,1
Snow Crush Killing Song,Snow Crush Killing Song,44,44,1996-01-15,2023-08-05,Sweden,2
Absolute Lithops Effect,Absolute Lithops Effect,44,44,2004-08-20,2022-05-17,All Hail West Texas,6
Song for an Old Friend,Song for an Old Friend,44,44,1997-06-20,2026-05-15,The Wheel Method,3
Blood Capsules,Blood Capsules,44,44,2015-04-03,2026-05-03,Blood Capsules (EP),2
Estate Sale Sign,Estate Sale Sign,42,42,2011-03-24,2023-02-08,All Eternals Deck,2
Magpie,Magpie,41,41,2004-04-08,2023-09-19,The Sunset Tree,2
Pez Dorado,Pez Dorado,41,41,2021-04-18,2022-11-17,Getting Into Knives,0
How to Embrace a Swamp Creature,How to Embrace a Swamp Creature,41,41,2007-09-24,2025-08-12,Heretic Pride,6
Werewolf Gimmick,Werewolf Gimmick,40,40,2015-04-02,2025-11-22,Beat the Champ,0
Some Swedish Trees,Some Swedish Trees,40,40,1995-01-15,2023-02-12,Sweden,2
Surrounded,Surrounded,40,40,2008-03-04,2025-09-20,Moon Colony Bloodbath,8
New Star Song,New Star Song,39,39,1995-04-12,2023-04-12,Beautiful Rat Sunset,2
I've Got the Sex,I've Got the Sex,39,39,1995-04-15,2024-07-31,Unreleased,2
Love Cuts the Strings,Love Cuts the Strings,39,39,1994-08-22,2025-11-11,Philyra,2
The Monkey Song,The Monkey Song,38,38,1996-02-25,2024-07-24,Philyra,3
"Passaic, 1975","Passaic, 1975",38,38,2015-05-29,2025-12-10,In League with Dragons,3
Orange Ball of Hate,Orange Ball of Hate,38,38,1996-02-25,2019-07-17,Zopilote Machine,3
In the Hidden Places,In the Hidden Places,38,38,2006-06-09,2025-09-22,Get Lonely,1
Aulon Raid,Aulon Raid,37,37,2020-10-22,2023-02-08,Songs for Pierre Chuvin,1
Island Garden Song,Island Garden Song,37,37,2001-04-21,2025-08-05,The Coroner's Gambit,4
Matthew 25:21,Matthew 25:21,37,37,2009-10-10,2022-05-11,The Life of the World to Come,2
The Ballad of Bull Ramos,The Ballad of Bull Ramos,37,37,2014-02-26,2021-08-12,Beat the Champ,3
Supergenesis,Supergenesis,37,37,2008-10-13,2016-12-05,Black Pear Tree EP,1
Mole,Mole,36,36,2004-02-20,2024-03-01,We Shall All Be Healed,3
Carmen Cicero,Carmen Cicero,36,36,1999-07-09,2026-05-03,Unreleased,1
Going to Bogotá,Going to Bogotá,36,36,1996-08-10,2026-04-05,Nothing for Juice,0
Commandante,Commandante,35,35,1999-01-23,2024-12-09,Devil in the Shortwave,5
New Britain,New Britain,34,34,2008-11-09,2025-10-04,Full Force Galesburg,0
Alpha Double Negative: Going to Catalina,Alpha Double Negative: Going to Catalina,34,34,1992-12-06,2006-09-24,Songs for Petronius,0
Murder at the 18th St. Garage,Murder at the 18th St. Garage,34,34,2023-10-02,2024-08-01,Jenny from Thebes,0
Whole Wide World,Whole Wide World,34,34,1996-03-20,2026-04-05,Sweden,0
Waving at You,Waving at You,34,34,1996-01-15,2025-09-19,Nothing for Juice,3
Pure Gold,Pure Gold,33,33,1994-08-18,2014-04-17,Songs About Fire,1
Hostages,Hostages,33,33,2022-08-30,2023-08-08,Bleed Out,1
Orange Ball of Love,Orange Ball of Love,33,33,1995-04-15,2025-08-01,Zopilote Machine,1
Song for Lonely Giants,Song for Lonely Giants,33,33,2006-08-21,2025-11-11,Get Lonely,3
Maize Stalk Drinking Blood,Maize Stalk Drinking Blood,32,32,1997-04-04,2019-11-18,Full Force Galesburg,6
"No, I Can't","No, I Can't",32,32,1992-12-27,2024-05-22,Transmissions to Horace,0
Going to Port Washington,Going to Port Washington,32,32,1996-03-21,2026-05-16,The Wedding Record,3
Transjordanian Blues,Transjordanian Blues,32,32,2001-07-19,2025-10-02,On Juhu Beach,2
Going to Queens,Going to Queens,32,32,1997-06-17,2025-09-17,Sweden,3
Seeing Daylight,Seeing Daylight,32,32,1995-04-20,2017-09-08,Beautiful Rat Sunset,2
Guys on Every Corner,Guys on Every Corner,32,32,2022-08-20,2024-08-04,Bleed Out,1
Alpha Gelida,Alpha Gelida,31,31,1994-08-22,2025-11-06,Taking the Dative,1
Going Invisible 2,Going Invisible 2,31,31,2019-05-01,2025-11-30,In League with Dragons,2
Going to Kansas,Going to Kansas,31,31,1992-07-22,2024-01-23,The Hound Chronicles,3
The Legend of Chavo Guerrero,The Legend of Chavo Guerrero,30,29,2015-04-02,2024-08-09,Beat the Champ,3
Extraction Point,Extraction Point,30,30,2022-08-25,2024-08-04,Bleed Out,0
Going to Jamaica,Going to Jamaica,30,30,1994-08-22,2025-11-06,Taking the Dative,1
Great Pirates,Great Pirates,29,29,2025-09-17,2026-04-17,Jenny from Thebes,0
Wolf Count,Wolf Count,29,29,2021-04-19,2024-01-24,Getting Into Knives,2
Training Montage,Training Montage,29,29,2022-08-19,2023-10-07,Bleed Out,2
Neon Orange Glimmer Song,Neon Orange Glimmer Song,29,29,1995-04-12,2022-09-20,Sweden,0
Rotten Stinking Mouthpiece,Rotten Stinking Mouthpiece,29,29,2011-04-08,2025-12-14,All Survivors Pack,6
See America Right (Song),See America Right (Song),28,28,2002-10-23,2012-01-31,Tallahassee,1
Going to Palestine,Going to Palestine,28,28,1994-08-22,2026-05-15,Unreleased,2
Black Molly,Black Molly,28,28,1996-09-02,2023-04-18,In Release City,1
Horseradish Road,Horseradish Road,28,28,1998-04-12,2026-05-22,The Coroner's Gambit,2
Doc Gooden,Doc Gooden,28,28,2019-11-10,2025-08-11,In League with Dragons,1
West Country Dream,West Country Dream,27,27,1997-06-14,2014-05-02,Full Force Galesburg,1
Song for My Stepfather,Song for My Stepfather,27,27,2004-05-26,2026-04-19,Unreleased,2
Steal Smoked Fish (Song),Steal Smoked Fish (Song),26,26,2012-10-09,2016-09-26,Steal Smoked Fish EP,3
Hair Match,Hair Match,26,26,2021-04-19,2025-11-11,Beat the Champ,1
Attention All Pickpockets,Attention All Pickpockets,26,26,2007-06-17,2025-09-17,Letter from Belgium EP,1
Onions,Onions,25,25,2000-02-17,2025-12-12,The Coroner's Gambit,0
Masher,Masher,25,25,1996-11-22,2022-07-15,Full Force Galesburg,1
Idylls of the King,Idylls of the King,25,25,2007-04-03,2025-07-26,Tallahassee,0
Fire Editorial,Fire Editorial,25,25,2015-05-26,2024-08-03,Beat the Champ,0
Chanson du Bon Chose,Chanson du Bon Chose,25,25,1997-06-22,2025-09-29,Nine Black Poppies EP,1
Choked Out,Choked Out,25,25,2014-07-25,2022-11-14,Beat the Champ,1
Dark as a Dungeon,Dark as a Dungeon,25,25,2012-09-01,2024-10-07,Unreleased,4
The House That Dripped Blood,The House That Dripped Blood,25,25,2003-02-01,2024-01-28,Tallahassee,1
Genesis 3:23,Genesis 3:23,24,24,2009-08-21,2026-05-26,The Life of the World to Come,2
Ripple,Ripple,24,24,2012-11-30,2025-08-10,Unreleased,3
Ox Baker Triumphant,Ox Baker Triumphant,24,24,2008-12-18,2026-04-06,Babylon Springs EP,2
Bell Swamp Connection,Bell Swamp Connection,24,24,2021-04-18,2024-08-09,Getting Into Knives,0
Clean Slate,Clean Slate,23,23,2023-08-04,2024-07-26,Jenny from Thebes,2
Only One Way,Only One Way,23,23,2023-10-03,2024-05-26,Jenny from Thebes,2
Weekend in Western Illinois,Weekend in Western Illinois,23,23,1997-03-02,2025-09-29,Full Force Galesburg,3
Jam Eater Blues (Song),Jam Eater Blues (Song),23,23,1999-10-09,2025-12-05,Jam Eater Blues EP,2
Going to Scotland,Going to Scotland,23,23,1995-04-20,2026-04-16,Nothing for Juice,0
Half Dead,Half Dead,23,23,2006-06-09,2009-02-05,Get Lonely,4
Downtown Seoul,Downtown Seoul,23,23,1994-08-18,2023-02-09,Sweden,2
Sign of the Crow 2,Sign of the Crow 2,23,23,2008-03-14,2026-05-23,Unreleased,2
Song for Black Sabbath's Second North American Tour,Song for Black Sabbath's Second North American Tour,22,22,2014-01-19,2026-04-11,Unreleased,1
Poltergeist,Poltergeist,22,22,1998-04-04,2022-11-11,Unreleased,2
Going to Bolivia,Going to Bolivia,22,22,1995-01-15,2022-12-05,Sweden,2
Ontario,Ontario,22,22,1996-08-30,2026-04-19,Full Force Galesburg,1
Fishing Boat,Fishing Boat,22,22,2025-11-29,2026-05-26,Through This Fire Across From Peter Balkan,0
Palmcorder Yajna (Song),Palmcorder Yajna (Song),22,22,2002-11-01,2012-12-16,We Shall All Be Healed,1
The River Song,The River Song,22,22,1992-10-01,2023-07-07,Martial Arts Weekend,1
The Coroner's Gambit (Song),The Coroner's Gambit (Song),22,22,2007-09-30,2026-05-24,The Coroner's Gambit,2
Rocks in My Pockets,Rocks in My Pockets,22,22,2025-10-03,2026-04-21,Through This Fire Across From Peter Balkan,0
Peru,Peru,22,22,2025-11-22,2026-05-26,Through This Fire Across From Peter Balkan,0
Tulsa Imperative,Tulsa Imperative,21,20,1995-04-20,2024-08-09,Unreleased,0
Itzcuintli-Totzli Days,Itzcuintli-Totzli Days,21,21,1997-07-16,2024-08-04,Beautiful Rat Sunset,0
Your Bandage,Your Bandage,21,21,2025-11-29,2026-05-26,Through This Fire Across From Peter Balkan,0
We Were Patriots,We Were Patriots,21,21,1998-02-06,2026-04-10,The Coroner's Gambit,0
One Fine Day,One Fine Day,21,21,1994-08-18,2020-02-22,Unreleased,5
My Favorite Things,My Favorite Things,21,21,1996-02-26,2024-12-09,Unreleased,0
Narakaloka,Narakaloka,21,21,1997-12-06,2025-08-10,New Asian Cinema,2
Alpha in Tauris,Alpha in Tauris,21,21,1997-06-21,2022-09-02,Zopilote Machine,1
Going to Alaska,Going to Alaska,21,21,1998-02-07,2025-09-27,Taboo VI: The Homecoming,2
Pure Milk,Pure Milk,21,21,1999-10-09,2025-09-17,Hot Garden Stomp,4
Blueberry Frost,Blueberry Frost,21,21,1996-11-07,2024-03-01,Nothing for Juice,1
Beautiful Gas Mask,Beautiful Gas Mask,20,20,2011-03-24,2022-08-19,All Eternals Deck,2
Riches and Wonders,Riches and Wonders,20,20,2002-10-23,2026-05-17,All Hail West Texas,2
Quetzalcoatl Eats Plums,Quetzalcoatl Eats Plums,20,20,1996-11-09,2023-12-13,Zopilote Machine,0
Outer Scorpion Squadron,Outer Scorpion Squadron,20,20,2011-03-25,2025-08-02,All Eternals Deck,0
An Antidote for Strychnine,An Antidote for Strychnine,20,20,2019-08-30,2023-07-13,In League with Dragons,0
Terror Song,Terror Song,20,20,1998-04-23,2019-09-17,Unreleased,2
Mosquito Repellent,Mosquito Repellent,20,20,2008-10-13,2008-11-09,Black Pear Tree EP,1
Stench of the Unburied,Stench of the Unburied,20,20,2017-05-19,2018-04-23,Goths,1
California Jam,California Jam,20,20,2016-09-18,2018-09-13,Unreleased,2
Wage Wars Get Rich Die Handsome,Wage Wars Get Rich Die Handsome,20,20,2022-08-19,2023-07-14,Bleed Out,2
Sinaloan Milk Snake Song,Sinaloan Milk Snake Song,20,20,1992-12-13,2025-11-06,Zopilote Machine,2
Armies of the Lord,Armies of the Lord,19,19,2025-11-30,2026-05-26,Through This Fire Across From Peter Balkan,0
Cleaning Crew,Cleaning Crew,19,19,2023-10-02,2024-08-03,Jenny from Thebes,1
Alphabetizing,Alphabetizing,19,19,1997-06-26,2024-02-29,Chile de Árbol,3
Golden Boy,Golden Boy,19,19,2006-08-10,2024-08-07,Object Lessons: Songs About Products,6
Azo Tle Nelli in Tlalticpac?,Azo Tle Nelli in Tlalticpac?,19,19,1996-03-16,2024-04-22,Zopilote Machine,0
Song for the Julian Calendar,Song for the Julian Calendar,18,18,1997-06-17,2022-09-18,Full Force Galesburg,0
Going to Bristol,Going to Bristol,18,18,1995-01-15,2023-12-08,Zopilote Machine,7
Paid in Cocaine,Paid in Cocaine,18,18,2017-04-12,2017-11-18,Goths,1
1 John 4:16,1 John 4:16,18,18,2008-10-20,2026-04-21,The Life of the World to Come,3
Ghosts,Ghosts,18,18,1996-03-23,2025-10-03,"Hail and Farewell, Gothenburg",4
Suedehead,Suedehead,18,18,2008-10-14,2008-11-09,Unreleased,4
Dawn of Revelation,Dawn of Revelation,18,18,2025-11-29,2026-05-26,Through This Fire Across From Peter Balkan,0
Age of Kings,Age of Kings,18,18,2011-03-29,2011-06-24,All Eternals Deck,1
Collapsing Stars,Collapsing Stars,18,18,2005-01-26,2023-12-12,Dilaudid EP,3
The Hot Garden Stomp,The Hot Garden Stomp,18,18,1992-12-06,2022-09-04,Hot Garden Stomp,0
Picture of My Dress,Picture of My Dress,18,18,2019-09-28,2026-05-26,Getting Into Knives,0
I Corinthians 13: 8-10,I Corinthians 13: 8-10,17,17,1996-01-15,2008-03-01,Nothing for Juice,1
No More Tears,No More Tears,17,17,2018-05-27,2019-11-24,Marsh Witch Visions,1
Family Happiness,Family Happiness,17,17,1998-02-06,2024-07-24,The Coroner's Gambit,3
Infidelity (Song),Infidelity (Song),17,17,1995-09-21,2010-10-23,Infidelity,0
Cutter,Cutter,17,17,1997-04-04,2026-05-23,Unreleased,1
The Boys Are Back in Town,The Boys Are Back in Town,17,17,2004-03-27,2018-04-15,Unreleased,4
