song_key,shows_since_last,played_last_show,career_rate,song_age_years,tour_rate,in_tour_pool,is_special_show,is_solo,city_plays,city_shows_count,ewma_10,ewma_25,ewma_50,ewma_100,ewma_200,new_material,as_of_date,tour,city_song_rate,p_model
Incandescent Ruins,10,0.0,0.27491408934707906,4.689938398357289,0.0,0.0,0.0,0.0,0,0,0.11211171071483092,0.12854000728922604,0.1845397719288256,0.23519017638476264,0.2589177995809288,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.11211171071483092,0.05668433280396934
Jenny,6,0.0,0.1469387755102041,24.922655715263517,0.1111111111111111,1.0,0.0,0.0,0,0,0.04747583543902509,0.03755353010927883,0.07003032192965296,0.10409369897512308,0.11732121767358547,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.04747583543902509,0.05447965202424709
Distant Stations,7,0.0,0.010638297872340425,18.940451745379878,0.1111111111111111,1.0,0.0,0.0,0,0,0.04418197110432955,0.02333207340618525,0.014000043286845312,0.010606856218452948,0.010291867031478538,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.04418197110432955,0.050056566592892614
Dance Music,10,0.0,0.27744165946413135,22.130047912388775,0.0,0.0,0.0,0.0,0,0,0.1584247210764747,0.22045444760176952,0.2556304295420464,0.2552049101303604,0.23965141774775894,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.1584247210764747,0.04895528212836111
Riches and Wonders,7,0.0,0.01658374792703151,23.589322381930184,0.1111111111111111,1.0,0.0,0.0,0,0,0.06102476201676225,0.041707543474801795,0.031190831663375714,0.02646342208265881,0.023211403210890397,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.06102476201676225,0.04876230025786321
Great Pirates,14,0.0,0.5272727272727272,0.6872005475701575,0.0,0.0,0.0,0.0,0,0,0.2442411018211734,0.4030787339788337,0.4651450245863752,0.4964191374898844,0.5119258328344076,1.0,2026-05-26,Hypnotic Waves Tour 2026,0.2442411018211734,0.048252046741900534
See America Right,11,0.0,0.2087821043910522,23.6249144421629,0.0,0.0,0.0,0.0,0,0,0.19753057444854388,0.16771538730883345,0.15014840277747488,0.15397500859193608,0.1702627977502867,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.19753057444854388,0.047567278705486625
Fault Lines,7,0.0,0.008986928104575163,24.851471594798085,0.1111111111111111,1.0,0.0,0.0,0,0,0.044183115091893016,0.023710408333417976,0.015791043467483914,0.012668946856873234,0.01047863068174567,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.044183115091893016,0.04584857222741264
The Young Thousands,10,0.0,0.100169779286927,22.663928815879533,0.0,0.0,0.0,0.0,0,0,0.160548091471797,0.264465572682638,0.2667693731103979,0.20830215763153767,0.15832823453493008,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.160548091471797,0.0448291493898146
Woke Up New,10,0.0,0.2653247941445563,19.95071868583162,0.0,0.0,0.0,0.0,0,0,0.10570613999416201,0.09830961577360146,0.11867032605351796,0.16303083337324806,0.21032790359816642,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.10570613999416201,0.04442858020617448
Game Shows Touch Our Lives,9,0.0,0.1891651865008881,20.93634496919918,0.1111111111111111,1.0,0.0,0.0,0,0,0.0384764656877966,0.025171341611878086,0.03745107363981471,0.08618780114233986,0.14285257128527878,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.0384764656877966,0.04420389202521358
Going to Port Washington,8,0.0,0.024162120031176928,30.17932922655715,0.1111111111111111,1.0,0.0,0.0,0,0,0.04462266124588652,0.030825364092894974,0.0204018641592758,0.01439955998798065,0.014029052429170151,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.04462266124588652,0.039097442183631176
Blood Capsules,10,0.0,0.06995230524642289,11.145790554414784,0.0,0.0,0.0,0.0,0,0,0.035907958477507225,0.02322463982678246,0.01937286278969752,0.02388529045987875,0.037730484944603945,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.035907958477507225,0.039090172066138476
Song for an Old Friend,9,0.0,0.03409992069785884,28.930869267624914,0.1111111111111111,1.0,0.0,0.0,0,0,0.06789460953378412,0.05143135542649456,0.03948589902696906,0.03038005580043687,0.025746925478803206,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.06789460953378412,0.03904163299946398
Going to Palestine,9,0.0,0.02076923076923077,31.759069130732374,0.1111111111111111,1.0,0.0,0.0,0,0,0.06392626962770936,0.060583268334289724,0.05883425243456044,0.04722505893591605,0.03219455921372194,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.06392626962770936,0.03684517004678624
Southwestern Territory,12,0.0,0.1882716049382716,11.956194387405887,0.0,0.0,0.0,0.0,0,0,0.03659488454926923,0.041169698924529145,0.052471521646963455,0.0777520930430182,0.11487295896699877,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.03659488454926923,0.03610049004453042
In Memory of Satan,13,0.0,0.1836734693877551,14.349075975359343,0.0,0.0,0.0,0.0,0,0,0.06455086132593917,0.11334966239653836,0.1330415616696473,0.1370379650516137,0.14433321591704948,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.06455086132593917,0.035103794622431496
Sicilian Crest,14,0.0,0.19592875318066158,7.082819986310746,0.0,0.0,0.0,0.0,0,0,0.030043944001425456,0.051723356716881455,0.08119339065953654,0.11154930337976762,0.14331063553110696,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.030043944001425456,0.03441823845271391
1 John 4:16,11,0.0,0.018518518518518517,17.596167008898014,0.0,0.0,0.0,0.0,0,0,0.04029098453709234,0.032549248223369576,0.02450301604034392,0.018909495943946142,0.01571015311439518,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.04029098453709234,0.03275549918690323
Psalms 40:2,14,0.0,0.09968186638388123,17.248459958932237,0.0,0.0,0.0,0.0,0,0,0.0814030149203645,0.0662843807491924,0.048909935875744694,0.041959790251842176,0.048977240990450005,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.0814030149203645,0.031866789098176966
Getting Into Knives (song),17,0.0,0.19254658385093168,5.590691307323751,0.0,0.0,0.0,0.0,0,0,0.04467632682215584,0.058795727253681006,0.07939785043841295,0.11781216657302018,0.15096782073907639,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.04467632682215584,0.03166597121632276
Your Belgian Things,13,0.0,0.09228187919463088,23.277207392197127,0.0,0.0,0.0,0.0,0,0,0.09428341412038625,0.0819736393369349,0.06684696293454105,0.06568610647672522,0.0695531509287813,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.09428341412038625,0.03152751766944187
Carmen Cicero,10,0.0,0.029055690072639227,26.88021902806297,0.0,0.0,0.0,0.0,0,0,0.04150481861340816,0.03613622170907787,0.03187127019644457,0.02856326954487929,0.025359267081955253,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.04150481861340816,0.030703881446309814
Hast Thou Considered the Tetrapod,12,0.0,0.15643906655142611,22.130047912388775,0.0,0.0,0.0,0.0,0,0,0.03428169749786233,0.06867099826545693,0.11476067482495717,0.1402954192866314,0.14508103303100445,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.03428169749786233,0.030362517688566792
Alpha Incipiens,10,0.0,0.04233226837060703,28.142368240930868,0.0,0.0,0.0,0.0,0,0,0.03593986164417791,0.022993444421755035,0.017747877236198327,0.018696558513824336,0.022566750415135443,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.03593986164417791,0.029925482672151324
Song for My Stepfather,13,0.0,0.02339688041594454,21.998631074606433,0.0,0.0,0.0,0.0,0,0,0.07795147747919533,0.06552268742591454,0.04960865009309107,0.03697797231040602,0.03038918657482157,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.07795147747919533,0.02989018595785062
Alpha Omega,10,0.0,0.04263565891472868,30.360027378507873,0.0,0.0,0.0,0.0,0,0,0.03768958672046665,0.03476098644792002,0.03667840570076434,0.03566175589739217,0.03328352657848915,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.03768958672046665,0.029071148572975766
Bleed Out (song),18,0.0,0.03375527426160337,3.7508555783709787,0.0,0.0,0.0,0.0,0,0,0.03985752016494344,0.03533499664029695,0.029433638221604334,0.029019803183857645,0.030591947545863665,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.03985752016494344,0.028573810798418302
Have to Explode,15,0.0,0.1263902932254803,18.195756331279945,0.0,0.0,0.0,0.0,0,0,0.04905235449551405,0.03723405623905458,0.03325145540264002,0.056705642203993524,0.08798358624510996,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.04905235449551405,0.028054188441927343
Palmcorder Yajna,16,0.0,0.1615575807787904,23.6249144421629,0.0,0.0,0.0,0.0,0,0,0.0939354621962349,0.11159725071712571,0.1296202644006994,0.14844571714347995,0.15198060896476726,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.0939354621962349,0.027950928284815414
Michael Myers Resplendent,14,0.0,0.055876685934489405,19.058179329226558,0.0,0.0,0.0,0.0,0,0,0.027806416152499614,0.027848028119024044,0.030505330037947045,0.03310920974912534,0.03714788003368735,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.027806416152499614,0.026716793541786195
Animal Mask,17,0.0,0.13843888070692195,12.83230663928816,0.0,0.0,0.0,0.0,0,0,0.022182235463848884,0.022561166784125467,0.027988493691551184,0.04206434643597996,0.07138486117972147,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.022182235463848884,0.026217173746958422
Maybe Sprout Wings,15,0.0,0.109375,19.761806981519506,0.0,0.0,0.0,0.0,0,0,0.033795822184182964,0.04064854723939864,0.045751036729091345,0.05504181708608005,0.07246028999807955,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.033795822184182964,0.02620145073663289
The Recognition Scene,12,0.0,0.062403697996918334,31.359342915811087,0.0,0.0,0.0,0.0,0,0,0.035900474967048394,0.03252799903890343,0.028502634497784986,0.027128323356267865,0.029438028961876146,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.035900474967048394,0.025336697150850657
The Mess Inside,14,0.0,0.05844155844155844,25.686516084873375,0.0,0.0,0.0,0.0,0,0,0.0443091080644865,0.04360372643209863,0.051098453882974286,0.06442047886608136,0.06613639138360282,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.0443091080644865,0.025182854532915102
Song for Black Sabbath's Second North American Tour,18,0.0,0.033182503770739065,12.347707049965777,0.0,0.0,0.0,0.0,0,0,0.039395415546531615,0.0462932070398233,0.03549863310731453,0.025801257530644148,0.024405742557117728,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.039395415546531615,0.025071615686966506
Heel Turn 2,21,0.0,0.23863636363636365,11.104722792607802,0.0,0.0,0.0,0.0,0,0,0.03013179643748572,0.06881034803643475,0.11095768179600306,0.14795271537550825,0.18166479567293836,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.03013179643748572,0.024699484331504786
Love Love Love,17,0.0,0.23626852659110723,21.620807665982205,0.0,0.0,0.0,0.0,0,0,0.022782703883061903,0.022887304788352724,0.025843268934138408,0.04934892727917544,0.10698676602726732,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.022782703883061903,0.02412950818065596
Heretic Pride (Song),21,0.0,0.1774033696729435,18.48870636550308,0.0,0.0,0.0,0.0,0,0,0.07158130533573039,0.18546142622425432,0.2471096415047003,0.2538781364813034,0.22238310891160853,0.0,2026-05-26,Hypnotic Waves Tour 2026,0.07158130533573039,0.023677106254377207
